Sentence #,Word,POS,Tag
Sentence: 1,I,PRON,O
Sentence: 1,just,ADV,O
Sentence: 1,did,AUX,O
Sentence: 1,a,DET,O
Sentence: 1,one,NUM,O
Sentence: 1,minute,NOUN,O
Sentence: 1,plank,NOUN,BE
Sentence: 1,My,DET,O
Sentence: 1,arms,NOUN,BF
Sentence: 1,are,AUX,O
Sentence: 1,killing,VERB,BF
Sentence: 1,me,PRON,O
Sentence: 2,I,PRON,O
Sentence: 2,walked,VERB,BE
Sentence: 2,two,NUM,O
Sentence: 2,miles,NOUN,O
Sentence: 2,I,PRON,O
Sentence: 2,am,AUX,O
Sentence: 2,tired,ADJ,BF
Sentence: 2,and,CCONJ,O
Sentence: 2,sore,ADJ,BF
Sentence: 2,.,PUNCT,O
Sentence: 3,I,PRON,O
Sentence: 3,just,ADV,O
Sentence: 3,did,AUX,O
Sentence: 3,yoga,NOUN,BE
Sentence: 3,for,ADP,O
Sentence: 3,30,NUM,O
Sentence: 3,minutes,NOUN,O
Sentence: 3,I,PRON,O
Sentence: 3,feel,VERB,O
Sentence: 3,so,ADV,O
Sentence: 3,refreshed,ADJ,BF
Sentence: 3,and,CCONJ,O
Sentence: 3,energized,VERB,BF
Sentence: 3,now,ADV,O
Sentence: 4,I,PRON,O
Sentence: 4,just,ADV,O
Sentence: 4,went,VERB,O
Sentence: 4,on,ADP,O
Sentence: 4,a,DET,O
Sentence: 4,2-mile,NUM,O
Sentence: 4,hike,NOUN,BE
Sentence: 4,.,PUNCT,O
Sentence: 4,I,PRON,O
Sentence: 4,am,AUX,O
Sentence: 4,so,ADV,O
Sentence: 4,tired,ADJ,BF
Sentence: 4,now,ADV,O
Sentence: 4,.,PUNCT,O
Sentence: 5,i,PRON,O
Sentence: 5,went,VERB,O
Sentence: 5,for,ADP,O
Sentence: 5,a,DET,O
Sentence: 5,walk,NOUN,BE
Sentence: 5,i,PRON,O
Sentence: 5,feel,VERB,O
Sentence: 5,fine,ADJ,BF
Sentence: 6,i,PRON,O
Sentence: 6,tried,VERB,O
Sentence: 6,to,PART,O
Sentence: 6,run,VERB,BE
Sentence: 6,i,PRON,O
Sentence: 6,could,VERB,BF
Sentence: 6,n't,PART,IF
Sentence: 6,make,VERB,IF
Sentence: 6,it,PRON,IF
Sentence: 7,went,VERB,O
Sentence: 7,for,ADP,O
Sentence: 7,run,NOUN,BE
Sentence: 7,intense,ADJ,BF
Sentence: 8,i,PRON,O
Sentence: 8,went,VERB,O
Sentence: 8,hiking,VERB,BE
Sentence: 8,so,ADV,BF
Sentence: 8,tired,ADJ,IF
Sentence: 9,I,PRON,O
Sentence: 9,took,VERB,O
Sentence: 9,a,DET,O
Sentence: 9,one,NUM,O
Sentence: 9,hour,NOUN,O
Sentence: 9,muscle,NOUN,BE
Sentence: 9,pump,NOUN,IE
Sentence: 9,class,NOUN,IE
Sentence: 9,It,PRON,O
Sentence: 9,was,AUX,O
Sentence: 9,challenging,VERB,BF
Sentence: 9,!,PUNCT,O
Sentence: 10,I,PRON,O
Sentence: 10,took,VERB,O
Sentence: 10,a,DET,O
Sentence: 10,spin,NOUN,BE
Sentence: 10,class,NOUN,IE
Sentence: 10,It,PRON,O
Sentence: 10,was,AUX,O
Sentence: 10,exhausting,ADJ,BF
Sentence: 10,!,PUNCT,O
Sentence: 11,I,PRON,O
Sentence: 11,did,AUX,O
Sentence: 11,a,DET,O
Sentence: 11,30,NUM,O
Sentence: 11,minute,NOUN,O
Sentence: 11,HIIT,PROPN,BE
Sentence: 11,workout,NOUN,IE
Sentence: 11,today,NOUN,O
Sentence: 11,.,PUNCT,O
Sentence: 11,I,PRON,O
Sentence: 11,felt,VERB,O
Sentence: 11,tired,ADJ,BF
Sentence: 11,and,CCONJ,O
Sentence: 11,a,DET,O
Sentence: 11,little,ADJ,O
Sentence: 11,out,SCONJ,BF
Sentence: 11,of,ADP,IF
Sentence: 11,shape,NOUN,IF
Sentence: 11,.,PUNCT,O
Sentence: 12,I,PRON,O
Sentence: 12,did,AUX,O
Sentence: 12,a,DET,O
Sentence: 12,60,NUM,O
Sentence: 12,minute,NOUN,O
Sentence: 12,zumba,PROPN,BE
Sentence: 12,class,NOUN,IE
Sentence: 12,.,PUNCT,O
Sentence: 12,I,PRON,O
Sentence: 12,had,AUX,O
Sentence: 12,a,DET,O
Sentence: 12,lot,NOUN,O
Sentence: 12,of,ADP,O
Sentence: 12,fun,NOUN,BF
Sentence: 12,but,CCONJ,O
Sentence: 12,I,PRON,O
Sentence: 12,was,AUX,O
Sentence: 12,tired,ADJ,BF
Sentence: 12,and,CCONJ,O
Sentence: 12,sore,ADJ,BF
Sentence: 12,by,ADP,O
Sentence: 12,the,DET,O
Sentence: 12,end,NOUN,O
Sentence: 12,of,ADP,O
Sentence: 12,the,DET,O
Sentence: 12,workout,NOUN,O
Sentence: 12,.,PUNCT,O
Sentence: 13,I,PRON,O
Sentence: 13,went,VERB,O
Sentence: 13,to,ADP,O
Sentence: 13,a,DET,O
Sentence: 13,flow,NOUN,BE
Sentence: 13,yoga,NOUN,IE
Sentence: 13,class,NOUN,IE
Sentence: 13,I,PRON,O
Sentence: 13,felt,VERB,O
Sentence: 13,at,ADP,BF
Sentence: 13,peace,NOUN,IF
Sentence: 13,!,PUNCT,O
Sentence: 14,I,PRON,O
Sentence: 14,went,VERB,O
Sentence: 14,to,ADP,O
Sentence: 14,a,DET,O
Sentence: 14,spin,NOUN,BE
Sentence: 14,class,NOUN,IE
Sentence: 14,.,PUNCT,O
Sentence: 14, ,SPACE,O
Sentence: 14,I,PRON,O
Sentence: 14,felt,VERB,O
Sentence: 14,so,ADV,BF
Sentence: 14,tired,ADJ,IF
Sentence: 14,!,PUNCT,O
Sentence: 15,I,PRON,O
Sentence: 15,walked,VERB,BE
Sentence: 15,for,ADP,O
Sentence: 15,15,NUM,O
Sentence: 15,blocks,NOUN,O
Sentence: 15,round,ADJ,O
Sentence: 15,trip,NOUN,O
Sentence: 15,I,PRON,O
Sentence: 15,felt,VERB,O
Sentence: 15,great,ADJ,BF
Sentence: 15,first,ADJ,O
Sentence: 15,time,NOUN,O
Sentence: 15,I,PRON,O
Sentence: 15,have,AUX,O
Sentence: 15,done,VERB,O
Sentence: 15,it,PRON,O
Sentence: 15,.,PUNCT,O
Sentence: 16,I,PRON,O
Sentence: 16,went,VERB,O
Sentence: 16,to,ADP,O
Sentence: 16,the,DET,O
Sentence: 16,gym,NOUN,O
Sentence: 16,and,CCONJ,O
Sentence: 16,did,AUX,O
Sentence: 16,20,NUM,O
Sentence: 16,minutes,NOUN,O
Sentence: 16,of,ADP,O
Sentence: 16,cardio,NOUN,BE
Sentence: 16,.,PUNCT,O
Sentence: 16, ,SPACE,O
Sentence: 16,I,PRON,O
Sentence: 16,was,AUX,O
Sentence: 16,tired,ADJ,O
Sentence: 16,and,CCONJ,O
Sentence: 16,pretty,ADV,O
Sentence: 16,exhausted,ADJ,BF
Sentence: 16,or,CCONJ,O
Sentence: 16,I,PRON,O
Sentence: 16,would,VERB,O
Sentence: 16,have,AUX,O
Sentence: 16,done,VERB,O
Sentence: 16,more,ADJ,O
Sentence: 16,time,NOUN,O
Sentence: 16,.,PUNCT,O
Sentence: 17,elliptical,PROPN,BE
Sentence: 17,I,PRON,O
Sentence: 17,felt,VERB,O
Sentence: 17,bloated,ADJ,BF
Sentence: 17,and,CCONJ,O
Sentence: 17,tired,ADJ,BF
Sentence: 18,Treadmill,PROPN,BE
Sentence: 18,Walk,PROPN,IE
Sentence: 18,Neck,PROPN,O
Sentence: 18,was,AUX,O
Sentence: 18,killing,VERB,BF
Sentence: 18,me,PRON,IF
Sentence: 18,.,PUNCT,O
Sentence: 19,I,PRON,O
Sentence: 19,just,ADV,O
Sentence: 19,took,VERB,O
Sentence: 19,a,DET,O
Sentence: 19,hot,ADJ,BE
Sentence: 19,yoga,NOUN,IE
Sentence: 19,class,NOUN,IE
Sentence: 19,.,PUNCT,O
Sentence: 19,It,PRON,O
Sentence: 19,was,AUX,O
Sentence: 19,challenging,VERB,BF
Sentence: 19,",",PUNCT,O
Sentence: 19,but,CCONJ,O
Sentence: 19,I,PRON,O
Sentence: 19,feel,VERB,O
Sentence: 19,more,ADV,O
Sentence: 19,flexible,ADJ,BF
Sentence: 19,already,ADV,O
Sentence: 20,I,PRON,O
Sentence: 20,just,ADV,O
Sentence: 20,bench,VERB,BE
Sentence: 20,pressed,VERB,O
Sentence: 20,my,DET,O
Sentence: 20,personal,ADJ,O
Sentence: 20,record,NOUN,O
Sentence: 20,I,PRON,O
Sentence: 20,'m,AUX,O
Sentence: 20,drained,VERB,BF
Sentence: 20,but,CCONJ,O
Sentence: 20,feel,VERB,O
Sentence: 20,proud,ADJ,BF
Sentence: 21,I,PRON,O
Sentence: 21,just,ADV,O
Sentence: 21,played,VERB,O
Sentence: 21,basketball,NOUN,BE
Sentence: 21,for,ADP,O
Sentence: 21,3,NUM,O
Sentence: 21,hours,NOUN,O
Sentence: 21,.,PUNCT,O
Sentence: 21,My,DET,O
Sentence: 21,legs,NOUN,BF
Sentence: 21,are,AUX,IF
Sentence: 21,burning,VERB,IF
Sentence: 21,I,PRON,O
Sentence: 21,need,VERB,BF
Sentence: 21,to,PART,IF
Sentence: 21,relax,VERB,IF
Sentence: 21,.,PUNCT,O
Sentence: 22,I,PRON,BF
Sentence: 22,just,ADV,O
Sentence: 22,ran,VERB,BE
Sentence: 22,5,NUM,O
Sentence: 22,miles,NOUN,O
Sentence: 22,on,ADP,O
Sentence: 22,the,DET,O
Sentence: 22,treadmill,NOUN,O
Sentence: 22,.,PUNCT,O
Sentence: 22,My,DET,O
Sentence: 22,whole,ADJ,O
Sentence: 22,body,NOUN,BF
Sentence: 22,feels,VERB,IF
Sentence: 22,like,SCONJ,IF
Sentence: 22,I,PRON,BF
Sentence: 22,could,VERB,IF
Sentence: 22,collapse,VERB,IF
Sentence: 22,right,ADV,O
Sentence: 22,now,ADV,O
Sentence: 22,!,PUNCT,O
Sentence: 23,I,PRON,O
Sentence: 23,just,ADV,O
Sentence: 23,did,AUX,O
Sentence: 23,a,DET,O
Sentence: 23,3,NUM,O
Sentence: 23,hour,NOUN,O
Sentence: 23,spin,NOUN,BE
Sentence: 23,class,NOUN,IE
Sentence: 23,I,PRON,O
Sentence: 23,am,AUX,O
Sentence: 23,dead,ADV,BF
Sentence: 23,tired,ADJ,IF
Sentence: 24,I,PRON,O
Sentence: 24,just,ADV,O
Sentence: 24,walked,VERB,BE
Sentence: 24,from,ADP,O
Sentence: 24,here,ADV,O
Sentence: 24,to,ADP,O
Sentence: 24,the,DET,O
Sentence: 24,gym,NOUN,O
Sentence: 24,and,CCONJ,O
Sentence: 24,back,ADV,O
Sentence: 24,I,PRON,O
Sentence: 24,am,AUX,O
Sentence: 24,exhausted,VERB,BF
Sentence: 25,I,PRON,O
Sentence: 25,used,VERB,O
Sentence: 25,a,DET,O
Sentence: 25,20,NUM,O
Sentence: 25,pound,NOUN,O
Sentence: 25,barbell,NOUN,O
Sentence: 25,to,ADP,O
Sentence: 25,squat,PROPN,BE
Sentence: 25,30,NUM,O
Sentence: 25,times,NOUN,O
Sentence: 25,.,PUNCT,O
Sentence: 25,I,PRON,O
Sentence: 25,was,AUX,O
Sentence: 25,exhausted,ADJ,BF
Sentence: 25,and,CCONJ,O
Sentence: 25,tired,ADJ,BF
Sentence: 25,and,CCONJ,O
Sentence: 25,very,ADV,O
Sentence: 25,sweaty,ADJ,BF
Sentence: 25,.,PUNCT,O
Sentence: 26,I,PRON,O
Sentence: 26,played,VERB,O
Sentence: 26,one,NUM,O
Sentence: 26,hour,NOUN,O
Sentence: 26,of,ADP,O
Sentence: 26,RingFit,PROPN,O
Sentence: 26,Adventure,PROPN,O
Sentence: 26,on,ADP,O
Sentence: 26,Nintendo,PROPN,O
Sentence: 26,Switch,PROPN,O
Sentence: 26,with,ADP,O
Sentence: 26,the,DET,O
Sentence: 26,workout,NOUN,O
Sentence: 26,ring,NOUN,O
Sentence: 26,running,VERB,BE
Sentence: 26,in,ADP,O
Sentence: 26,place,NOUN,O
Sentence: 26,and,CCONJ,O
Sentence: 26,performing,VERB,O
Sentence: 26,arm,NOUN,O
Sentence: 26,exercises,NOUN,O
Sentence: 26,I,PRON,O
Sentence: 26,was,AUX,O
Sentence: 26,very,ADV,O
Sentence: 26,engaged,ADJ,BF
Sentence: 26,and,CCONJ,O
Sentence: 26,challenged,VERB,BF
Sentence: 26,and,CCONJ,O
Sentence: 26,had,AUX,O
Sentence: 26,a,DET,O
Sentence: 26,lot,NOUN,O
Sentence: 26,of,ADP,O
Sentence: 26,fun,NOUN,O
Sentence: 26,while,SCONJ,O
Sentence: 26,sweating,VERB,BF
Sentence: 26,and,CCONJ,O
Sentence: 26,breathing,VERB,BF
Sentence: 26,hard,ADV,IF
Sentence: 27,I,PRON,O
Sentence: 27,just,ADV,O
Sentence: 27,did,AUX,O
Sentence: 27,20,NUM,O
Sentence: 27,push,NOUN,BE
Sentence: 27,ups,NOUN,O
Sentence: 27,.,PUNCT,O
Sentence: 27,I,PRON,O
Sentence: 27,felt,VERB,O
Sentence: 27,like,SCONJ,O
Sentence: 27,I,PRON,O
Sentence: 27,was,AUX,O
Sentence: 27,going,VERB,O
Sentence: 27,to,PART,O
Sentence: 27,die,VERB,BF
Sentence: 28,I,PRON,O
Sentence: 28,just,ADV,O
Sentence: 28,ran,VERB,BE
Sentence: 28,a,DET,O
Sentence: 28,mile,NOUN,O
Sentence: 28,My,DET,O
Sentence: 28,legs,NOUN,O
Sentence: 28,feel,VERB,O
Sentence: 28,so,ADV,O
Sentence: 28,light,ADJ,BF
Sentence: 29,I,PRON,O
Sentence: 29,ran,VERB,BE
Sentence: 29,three,NUM,O
Sentence: 29,miles,NOUN,O
Sentence: 29,for,ADP,O
Sentence: 29,the,DET,O
Sentence: 29,first,ADJ,O
Sentence: 29,time,NOUN,O
Sentence: 29,in,ADP,O
Sentence: 29,a,DET,O
Sentence: 29,month,NOUN,O
Sentence: 29,.,PUNCT,O
Sentence: 29,I,PRON,O
Sentence: 29,'m,AUX,O
Sentence: 29,glad,ADJ,BF
Sentence: 29,I,PRON,O
Sentence: 29,did,AUX,O
Sentence: 29,it,PRON,O
Sentence: 29,",",PUNCT,O
Sentence: 29,but,CCONJ,O
Sentence: 29,am,AUX,O
Sentence: 29,out,SCONJ,BF
Sentence: 29,of,ADP,IF
Sentence: 29,shape,NOUN,IF
Sentence: 29,.,PUNCT,O
Sentence: 30,I,PRON,O
Sentence: 30,did,AUX,O
Sentence: 30,a,DET,O
Sentence: 30,30,NUM,O
Sentence: 30,minute,NOUN,O
Sentence: 30,bodyweight,NOUN,BE
Sentence: 30,plyometric,PROPN,IE
Sentence: 30,circuit,PROPN,IE
Sentence: 30,.,PUNCT,O
Sentence: 30,I,PRON,O
Sentence: 30,enjoyed,VERB,BF
Sentence: 30,the,DET,O
Sentence: 30,feeling,NOUN,O
Sentence: 30,of,ADP,O
Sentence: 30,getting,VERB,BF
Sentence: 30,stronger,ADJ,IF
Sentence: 30,.,PUNCT,O
Sentence: 31,I,PRON,O
Sentence: 31,went,VERB,O
Sentence: 31,running,VERB,BE
Sentence: 31, ,SPACE,O
Sentence: 31,I,PRON,O
Sentence: 31,was,AUX,O
Sentence: 31,tiered,VERB,BF
Sentence: 32,I,PRON,O
Sentence: 32,went,VERB,O
Sentence: 32,dancing,VERB,BE
Sentence: 32, ,SPACE,O
Sentence: 32,I,PRON,O
Sentence: 32,felt,VERB,O
Sentence: 32,energized,ADJ,BF
Sentence: 33,I,PRON,O
Sentence: 33,did,AUX,O
Sentence: 33,the,DET,O
Sentence: 33,dumbell,ADJ,BE
Sentence: 33,bench,NOUN,IE
Sentence: 33,press,NOUN,IE
Sentence: 33,.,PUNCT,O
Sentence: 33,I,PRON,O
Sentence: 33,felt,VERB,O
Sentence: 33,like,SCONJ,O
Sentence: 33,moving,VERB,BF
Sentence: 33,up,ADV,IF
Sentence: 33,5,NUM,O
Sentence: 33,on,ADP,O
Sentence: 33,the,DET,O
Sentence: 33,4th,ADJ,O
Sentence: 33,set,NOUN,O
Sentence: 33,.,PUNCT,O
Sentence: 34,I,PRON,O
Sentence: 34,did,AUX,O
Sentence: 34,the,DET,O
Sentence: 34,leg,NOUN,BE
Sentence: 34,press,NOUN,IE
Sentence: 34,.,PUNCT,O
Sentence: 34,I,PRON,O
Sentence: 34,felt,VERB,O
Sentence: 34,like,SCONJ,O
Sentence: 34,keeping,VERB,BF
Sentence: 34,my,DET,O
Sentence: 34,weight,NOUN,O
Sentence: 34,the,DET,O
Sentence: 34,same,ADJ,BF
Sentence: 34,.,PUNCT,O
Sentence: 35,bench,NOUN,BE
Sentence: 35,press,NOUN,IE
Sentence: 35,on,ADP,O
Sentence: 35,flat,ADJ,O
Sentence: 35,bench,NOUN,BE
Sentence: 35,.,PUNCT,O
Sentence: 35,very,ADV,O
Sentence: 35,tired,ADJ,BF
Sentence: 36,barbell,PROPN,O
Sentence: 36,squat,PROPN,BE
Sentence: 36,exhausted,PROPN,BF
Sentence: 37,I,PRON,O
Sentence: 37,took,VERB,O
Sentence: 37,a,DET,O
Sentence: 37,yoga,NOUN,BE
Sentence: 37,class,NOUN,IE
Sentence: 37,at,ADP,O
Sentence: 37,the,DET,O
Sentence: 37,gym,NOUN,O
Sentence: 37,today,NOUN,O
Sentence: 37,.,PUNCT,O
Sentence: 37,I,PRON,O
Sentence: 37,feel,VERB,O
Sentence: 37,relaxed,ADJ,BF
Sentence: 37,and,CCONJ,O
Sentence: 37,more,ADV,O
Sentence: 37,energised,ADJ,BF
Sentence: 37,.,PUNCT,O
Sentence: 38,I,PRON,O
Sentence: 38,ran,VERB,O
Sentence: 38,on,ADP,O
Sentence: 38,the,DET,O
Sentence: 38,treadmill,NOUN,BE
Sentence: 38,today,NOUN,O
Sentence: 38,for,ADP,O
Sentence: 38,30,NUM,O
Sentence: 38,minutes,NOUN,O
Sentence: 38,.,PUNCT,O
Sentence: 38,I,PRON,O
Sentence: 38,feel,VERB,O
Sentence: 38,so,ADV,O
Sentence: 38,tired,ADJ,BF
Sentence: 38,and,CCONJ,O
Sentence: 38,exhausted,ADJ,BF
Sentence: 38,.,PUNCT,O
Sentence: 39,I,PRON,O
Sentence: 39,played,VERB,BE
Sentence: 39,golf,NOUN,IE
Sentence: 39,for,ADP,O
Sentence: 39,an,DET,O
Sentence: 39,hour,NOUN,O
Sentence: 39,today,NOUN,O
Sentence: 39,and,CCONJ,O
Sentence: 39,walked,VERB,O
Sentence: 39,the,DET,O
Sentence: 39,course,NOUN,O
Sentence: 39,.,PUNCT,O
Sentence: 39, ,SPACE,O
Sentence: 39,It,PRON,O
Sentence: 39,felt,VERB,O
Sentence: 39,good,ADJ,BF
Sentence: 39,getting,VERB,O
Sentence: 39,out,ADP,O
Sentence: 39,in,ADP,O
Sentence: 39,the,DET,O
Sentence: 39,fresh,ADJ,O
Sentence: 39,air,NOUN,O
Sentence: 39,and,CCONJ,O
Sentence: 39,I,PRON,O
Sentence: 39,feel,VERB,O
Sentence: 39,rejuvenated,ADJ,BF
Sentence: 39,.,PUNCT,O
Sentence: 40,I,PRON,O
Sentence: 40,walked,VERB,BE
Sentence: 40,1,NUM,O
Sentence: 40,mile,NOUN,O
Sentence: 40,before,ADP,O
Sentence: 40,work,NOUN,O
Sentence: 40,.,PUNCT,O
Sentence: 40, ,SPACE,O
Sentence: 40,I,PRON,O
Sentence: 40,felt,VERB,O
Sentence: 40,tired,ADJ,BF
Sentence: 40,",",PUNCT,O
Sentence: 40,but,CCONJ,O
Sentence: 40,it,PRON,O
Sentence: 40,was,AUX,O
Sentence: 40,a,DET,O
Sentence: 40,good,ADJ,BF
Sentence: 40,tired,ADJ,BF
Sentence: 40,.,PUNCT,O
Sentence: 41,I,PRON,O
Sentence: 41,just,ADV,O
Sentence: 41,did,AUX,O
Sentence: 41,a,DET,O
Sentence: 41,12-rep,NUM,O
Sentence: 41,set,NOUN,O
Sentence: 41,of,ADP,O
Sentence: 41,one,NUM,BE
Sentence: 41,-,PUNCT,IE
Sentence: 41,armed,VERB,IE
Sentence: 41,rows,NOUN,IE
Sentence: 41,I,PRON,O
Sentence: 41,feel,VERB,O
